Control Name,Description,Category,Points,Popularity,Actions,Systems and Assets at Risk,Responsible Role,Control Authors,Description Summary
Electrical Room Presence of Water Monitoring,"The contractor and developer will ensure that water sensors are installed in electrical rooms to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage to sensitive electrical equipment. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the electrical infrastructure and enhancing overall system reliability.",Presence of Water Monitoring,5,5,"Installation - The water mitigation provider will install water sensors in electrical rooms for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.",Electrical Rooms,Developer,Wint.ai,Electrical Room Presence of Water Monitoring protects Electrical Rooms using presence of water monitoring.
Mechanical Room Presence of Water Monitoring,"The contractor and developer will ensure that water sensors are installed in Mechanical Rooms to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability. ",Presence of Water Monitoring,10,5,"Installation - The water mitigation provider will install water sensors in mechanical rooms for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.","Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Main City Water Supply, Mechanical Risers, Mechanical Rooms",Developer,Wint.ai,"Mechanical Room Presence of Water Monitoring protects Domestic Cold Water, Domestic Hot Water using presence of water monitoring."
Mechanical Risers Presence of Water Monitoring,"The contractor and developer will ensure that water sensors are installed in the mechanical risers to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Presence of Water Monitoring,6,5,"Installation - The water mitigation provider will install water sensors in mechanical risers for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.
Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.
","Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Mechanical Risers, Mechanical Rooms",Developer,Wint.ai,"Mechanical Risers Presence of Water Monitoring protects Domestic Cold Water, Domestic Hot Water using presence of water monitoring."
Cold Domestic Water Abnormal Flow Monitoring,"The contractor and developer will ensure that water flow sensors are installed in the Cold Domestic Water System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Abnormal Flow Valve and Pump Automation,12,5,"Installation - Install flow sensors in Cold Domestic Water System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details","Domestic Cold Water, Mechanical Risers, Mechanical Rooms",Developer,Wint.ai,"Cold Domestic Water Abnormal Flow Monitoring protects Domestic Cold Water, Mechanical Risers using abnormal flow valve and pump automation."
Temporary Water Run Abnormal Flow Monitoring,"The contractor and developer will ensure that water flow sensors are installed in the Temporary Water Run System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Abnormal Flow Valve and Pump Automation,1,5,"Installation - Install flow sensors in Temporary Water Run System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details.",Temporary Water Run,Developer,Wint.ai,Temporary Water Run Abnormal Flow Monitoring protects Temporary Water Run using abnormal flow valve and pump automation.
Fire Suppression System Abnormal Flow Monitoring,"The contractor and developer will ensure that water flow sensors are installed in the Fire Suppression System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Abnormal Flow Valve and Pump Automation,9,5,"Installation - Install flow sensors in Fire Suppression Water System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details.",Fire Suppression System,Developer,Wint.ai,Fire Suppression System Abnormal Flow Monitoring protects Fire Suppression System using abnormal flow valve and pump automation.
Automatic Shut Off Temporary Water Run,"The contractor and developer will ensure that Automatic Shut-off valves are installed in the Temporary Water Run System to disrupt water flow in the event of abnormal flow or presence of water. These valves will be strategically placed to shut-off any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of Automatic Shut-off valves will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early damage reduction and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Abnormal Flow Valve and Pump Automation,8,5,"Installation - Install automatic shut-off valves in the Temporary Water Run system.
Activation - Ensure valves stop flow during abnormal conditions.
Documentation - Record locations in the Water Mitigation Plan",Temporary Water Run,Developer,Wint.ai,Automatic Shut Off Temporary Water Run protects Temporary Water Run using abnormal flow valve and pump automation.
Main Riser Section Automatic Shut Open/Close Cold Domestic Water,"The contractor and developer will ensure that predefined Automatic Shut Open/Close valves are installed on the Cold Domestic Water’s Main Riser Sections throughout all phases of construction. These valves will be configured to shut off water flow based on water presence detection, abnormal flow monitoring, or a predefined schedule to mitigate risks and prevent water damage.",Abnormal Flow Valve and Pump Automation,5,2,"Install predefined Automatic Shut Open/Close valves on Cold Domestic Water’s Main Riser Sections during all construction phases.
Specify valve locations and quantities in the Water Mitigation Plan and engineering drawings.
Maintain and update the Water Mitigation Plan to ensure compliance and system reliability.","Domestic Cold Water, Mechanical Risers",Developer,Wint.ai,"Main: protects Domestic Cold Water, Mechanical Risers via abnormal flow valve and pump automation."
Suite Drains,"The contractor and developer will ensure the installation of drains beneath all washing machines and dishwashers to capture any leaks or overflow, preventing water from seeping into surrounding areas. This proactive measure will be incorporated into the design and construction process to reduce the risk of water damage to flooring and nearby structures. The drains will be strategically placed to provide effective water capture, helping to maintain the integrity of the surrounding areas and mitigate potential water-related risks.",Design Incorporated,5,3,"Install drains beneath washing machines and dishwashers to prevent overflow.
Integrate drain installation into overall construction and plumbing designs.
Position drains strategically to protect surrounding flooring and structures.",Suites,Developer,EllisDon,Suite Drains protects Suites using design incorporated.
Flood Control Measures,"The Developer and Contractor shall implement flood control measures to manage water movement into and out of the project site. This includes reviewing grading, slopes, and ramps leading towards the building to ensure they are designed to mitigate water flow towards the structure",Design Incorporated,5,5,"Review grading and slopes for water flow prevention.
Design ramps to direct water away from structure.
Implement flood control measures around project site.","Electrical Rooms, Elevator Pits, Entire Project, Mechanical Rooms, Sump Pits",Contractor,EllisDon,"Flood Control Measures protects Electrical Rooms, Elevator Pits using design incorporated."
