Control Name,Actions,Category,Control Authors,Description,Points,Popularity,Responsible Role,Systems and Assets at Risk
Electrical Room Presence of Water Monitoring,"Installation - The water mitigation provider will install water sensors in electrical rooms for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.",Presence of Water Monitoring,Wint.ai,"The contractor and developer will ensure that water sensors are installed in electrical rooms to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage to sensitive electrical equipment. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the electrical infrastructure and enhancing overall system reliability.",5,5,Developer,Electrical Rooms
Mechanical Risers Presence of Water Monitoring,"Installation - The water mitigation provider will install water sensors in mechanical risers for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.
Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.
",Presence of Water Monitoring,Brickeye,"The contractor and developer will ensure that water sensors are installed in the mechanical risers to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",6,5,Developer,"Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Mechanical Risers, Mechanical Rooms"
Mechanical Room Presence of Water Monitoring,"Installation - The water mitigation provider will install water sensors in mechanical rooms for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.",Presence of Water Monitoring,Wint.ai,"The contractor and developer will ensure that water sensors are installed in Mechanical Rooms to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability. ",10,5,Developer,"Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Main City Water Supply, Mechanical Risers, Mechanical Rooms"
Cold Domestic Water Abnormal Flow Monitoring,"Installation - Install flow sensors in Cold Domestic Water System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details",Abnormal Flow Valve and Pump Automation,Wint.ai,"The contractor and developer will ensure that water flow sensors are installed in the Cold Domestic Water System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",12,5,Developer,"Domestic Cold Water, Mechanical Risers, Mechanical Rooms"
Temporary Water Run Abnormal Flow Monitoring,"Installation - Install flow sensors in Temporary Water Run System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details.",Abnormal Flow Valve and Pump Automation,Wint.ai,"The contractor and developer will ensure that water flow sensors are installed in the Temporary Water Run System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",1,5,Developer,Temporary Water Run
Fire Suppression System Abnormal Flow Monitoring,"Installation - Install flow sensors in Fire Suppression Water System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details.",Abnormal Flow Valve and Pump Automation,Wint.ai,"The contractor and developer will ensure that water flow sensors are installed in the Fire Suppression System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",9,5,Developer,Fire Suppression System
Automatic Shut Off Temporary Water Run,"Installation - Install automatic shut-off valves in the Temporary Water Run system.
Activation - Ensure valves stop flow during abnormal conditions.
Documentation - Record locations in the Water Mitigation Plan",Abnormal Flow Valve and Pump Automation,RiskBlue,"The contractor and developer will ensure that Automatic Shut-off valves are installed in the Temporary Water Run System to disrupt water flow in the event of abnormal flow or presence of water. These valves will be strategically placed to shut-off any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of Automatic Shut-off valves will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early damage reduction and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",8,5,Developer,Temporary Water Run
Main Riser Section Automatic Shut Open/Close Cold Domestic Water,"Install predefined Automatic Shut Open/Close valves on Cold Domestic Water’s Main Riser Sections during all construction phases.
Specify valve locations and quantities in the Water Mitigation Plan and engineering drawings.
Maintain and update the Water Mitigation Plan to ensure compliance and system reliability.",Abnormal Flow Valve and Pump Automation,Brickeye,"The contractor and developer will ensure that predefined Automatic Shut Open/Close valves are installed on the Cold Domestic Water’s Main Riser Sections throughout all phases of construction. These valves will be configured to shut off water flow based on water presence detection, abnormal flow monitoring, or a predefined schedule to mitigate risks and prevent water damage.",5,2,Developer,"Domestic Cold Water, Mechanical Risers"
Suite Drains,"Install drains beneath washing machines and dishwashers to prevent overflow.
Integrate drain installation into overall construction and plumbing designs.
Position drains strategically to protect surrounding flooring and structures.",Design Incorporated,RiskBlue,"The contractor and developer will ensure the installation of drains beneath all washing machines and dishwashers to capture any leaks or overflow, preventing water from seeping into surrounding areas. This proactive measure will be incorporated into the design and construction process to reduce the risk of water damage to flooring and nearby structures. The drains will be strategically placed to provide effective water capture, helping to maintain the integrity of the surrounding areas and mitigate potential water-related risks.",5,3,Developer,Suites
Flood Control Measures,"Review grading and slopes for water flow prevention.
Design ramps to direct water away from structure.
Implement flood control measures around project site.",Design Incorporated,RiskBlue,"The Developer and Contractor shall implement flood control measures to manage water movement into and out of the project site. This includes reviewing grading, slopes, and ramps leading towards the building to ensure they are designed to mitigate water flow towards the structure",5,5,Contractor,"Electrical Rooms, Elevator Pits, Entire Project, Mechanical Rooms, Sump Pits"
Pre-qualification of Envelope Systems,"Pre-qualify envelope systems for performance requirements.
Maintain records of testing, certifications, and compliance.
Ensure ongoing review of performance standards throughout project lifecycle",Design Incorporated,RiskBlue,"The Contractor and Developer shall pre-qualify all envelope systems to ensure they meet specified performance requirements, including but not limited to durability, energy efficiency, and weather resistance. Detailed records of testing, certifications, and compliance with applicable standards shall be maintained and made available for review throughout the project lifecycle.",2,3,Engineering,"Elevator Pits, Main Electrical Risers, Mechanical Risers, Mechanical Rooms, Suites, Sump Pits"
Heat Trace and Insulation,"Plan and install heat trace systems on exterior water pipes.
Insulate pipes using compliant thermal efficiency materials.
Ensure reliable performance to prevent freezing and damage.",Design Incorporated,RiskBlue,The contractor will plan and install heat trace systems on all water-carrying pipes in exterior or unconditioned spaces to prevent freezing and damage. Pipes will be properly insulated using materials that meet applicable standards for thermal efficiency and durability. This ensures reliable performance and safeguards the building’s infrastructure during cold weather.,1,3,Contractor,"Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Hydronics, Temporary Water Run"
Pressure Reducing Valve Maintenance Plan: Safeguarding System Performance,"Implement – Create a structured maintenance plan for PRVs.
Inspect – Conduct regular checks of pressure, temperature, and seals.
Maintain – Schedule inspections, replacements, and adjustments to optimize valve function.",Design Incorporated,Plumb-Tech,"A structured maintenance plan should be implemented for pressure reducing valves (PRVs) to ensure regular inspections and timely seal replacements. Scheduled maintenance should include periodic checks of pressure and temperature gauges to detect any deviations that may indicate system issues. The plan must detail inspection intervals, replacement protocols, and necessary adjustments to optimize valve function. By systematically monitoring and maintaining these components, the risk of leaks, pressure imbalances, and system failures is significantly reduced.",15,3,Engineering,"Domestic Cold Water, Fire Suppression System, Mechanical Risers, Mechanical Rooms"
Proper Zoning Configuration: Optimizing Pressure Systems,"Use – Implement separate booster pumps for each pressure zone.
Distribute – Install multiple smaller pumps to reduce energy consumption.
Zoning – Ensure proper zoning with hydropneumatic tanks and optimal pump placement.",Design Incorporated,Plumb-Tech,"Separate booster pumps should be used for each pressure zone to minimize reliance on pressure-reducing valves (PRVs) and enhance system reliability. Multiple smaller pumps should be implemented instead of a single large pump to distribute workload evenly and reduce energy consumption. Proper zoning should include hydropneumatic tanks and strategic mechanical room placement, serving no more than 10 floors above and 10 floors below, to maintain stable and manageable pressure levels. Additionally, complex repressurization pump systems should be avoided to prevent excessive wear and tear.",23,4,Engineering,"Domestic Cold Water, Mechanical Risers, Mechanical Rooms"
Floor Penetrations Water Seals,"Seal – Ensure all floor penetrations are sealed with fire-stopping materials to prevent water and fire intrusion.
Integrate – Use waterproofing membranes with pipe seals to maintain a continuous barrier against water ingress.
Use – Apply non-permeable materials like calcium silicate or solid foam glass for floor penetration insulation.",Design Incorporated,Plumb-Tech,"Ensure and document that all floor penetrations are properly sealed to prevent water intrusion and maintain fire safety. Floor penetrations must be equipped with fire-stopping materials to prevent the spread of fire and sealed to stop water from passing through. Waterproofing membranes should be integrated with the pipe seals to maintain a continuous barrier against water ingress. By sealing the pipe penetrations before installing the insulation, the building can minimize the risk of water damage by preventing water from traveling through the insulation and potentially seeping through the floor to lower levels Non-permeable materials like calcium silicate or solid foam glass insulation should be used at floor penetrations to enhance durability and impermeability. Proper implementation of this control ensures a secure and compliant building infrastructure.",4,5,Engineering,Entire Project
Historical Project Water Incident Reports,"Record – Document all water-related incidents.
Track – Log details, actions, and prevention measures.
Transfer – Handover records to the property owner.
",Water Response Strategy,EHAB,"The Contractor and Developer will maintain a comprehensive record of all water-related incidents that occur during the construction and development phases, regardless of their scale or severity. This record will include detailed documentation of each event, such as the date, location, nature of the issue, corrective actions taken, and any preventative measures implemented. Once the building transitions to the operational phase, this historical data will be formally handed over to the property owner. Providing this information ensures transparency, facilitates proactive maintenance planning, and supports the property owner in managing potential water-related risks over the building’s lifecycle.",2,4,Developer,Entire Project
100-Year Flood and Wind Storm Report,"Assess – Conduct flood and wind risk evaluations.
Analyze – Review reports on historical and predicted risks.
Document – Integrate findings into site feasibility studies.",Water Response Strategy,EHAB,"The developer is responsible for conducting a comprehensive flood and wind risk assessment as part of the site feasibility study. This process includes obtaining detailed reports, such as a 100-year flood report and a windstorm risk analysis, to evaluate the environmental and climate-related vulnerabilities of the site. The flood risk assessment identifies the likelihood and potential severity of flooding events based on historical data and predictive modeling. Similarly, the windstorm report assesses the site's exposure to high wind events, considering factors such as regional weather patterns, topography, and past storm occurrences.",5,4,Developer,Entire Project
